Year E,location E,Death Toll E,injured E,Magnitude E,Place E,Year F,Location F,Death Toll F,Coordinates
2005,Pakistan,86000,70000,7.6,Pakistan,1950,Pakistan,2910,"31.474501,70.770103"
2004,Indonesia,230000,125000,9.1,Indonesia,2003,Indonesia East Java,313,"-0.7366,113.485001"
1995,Japan,55502,36896,6.9,Japan,1982,Nagasaki Japan,299,"36.652302,138.192093"
1994,Southern California,57,8700,6.7,Southern California,1928,California St Francis Dam,431,"37.992799,-121.571899"
1989,Central California,63,3757,6.9,Central California,,,,"38.392799,-121.571899"
1976,China,250000,164851,7.5,China,1931,China,1000000,"33,100"
1970,Peru,66794,50000,7.9,Peru,1941,Peru Lake Palacocha,5000,"-9.175354,-74.361778"
1964,Alaska,131,150,9.2,Alaska,,,,"63.631126,-151.631889"
2010,Southern Chile,525,25,9.5,Southern Chile,1991,Chile Antofagasta,120,"31.9395,-110.32926"
1948,Southern USSR,110000,20000,7.3,Southern USSR,1824,Russia st. Petersburg,10000,"65.067703,116.8564"
1906,San Francisco,3000,10,7.8,San Francisco,,,,"37.78008,-122.420168"
